2013-10-21,1350.75
2013-10-23,1365.1
2013-11-18,1343.5
2013-11-26,1320.0
2013-12-04,1296.3
2013-12-05,1299.0
2013-12-12,1311.0
2013-12-17,1308.45
2013-12-18,1303.1
2013-12-19,1285.51
2013-12-20,1274.0
2013-12-23,1273.0
2013-12-24,1256.0
2014-01-09,1310.0
2014-01-10,1317.0
2014-01-13,1330.0
2014-01-14,1342.0
2014-01-15,1330.5
2014-01-16,1332.0
2014-01-17,1337.0
2014-01-21,1363.12
2014-01-22,1351.7
2014-01-30,1430.0
2014-01-31,1408.0
2014-02-04,1440.0
2014-02-06,1411.0
2014-02-07,1406.83
2014-02-10,1421.2
2014-02-11,1433.5
2014-02-12,1455.0
2014-02-13,1460.0
2014-02-17,1500.75
2014-02-18,1494.0
2014-02-19,1511.0
2014-02-20,1516.5
2014-02-21,1523.0
2014-02-24,1523.5
2014-02-25,1538.0
2014-02-27,1550.0
2014-02-28,1539.5
2014-03-03,1579.0
2014-03-04,1550.0
2014-03-05,1555.0
2014-03-06,1552.0
2014-03-07,1560.0
2014-03-11,1570.0
2014-03-12,1601.0
2014-03-13,1614.25
2014-03-14,1621.0
2014-03-17,1610.0
2014-03-18,1590.0
2014-03-19,1550.5
2014-03-20,1546.0
2014-03-21,1562.25
2014-03-24,1538.5
2014-03-25,1516.0
2014-03-26,1482.5
2014-03-27,1477.0
2014-03-28,1478.75
2014-03-31,1473.0
2014-04-01,1448.75
2014-04-02,1460.0
2014-04-03,1478.5
2014-04-04,1470.25
2014-04-07,1494.5
2014-04-08,1502.9
2014-04-09,1495.75
2014-04-10,1509.95
2014-04-11,1509.0
2014-04-14,1535.0
2014-04-15,1494.0
2014-04-16,1505.5
2014-04-17,1501.75
2014-04-21,1476.5
2014-04-22,1468.5
2014-04-23,1477.0
2014-04-24,1485.0
2014-04-25,1495.0
2014-04-28,1492.0
2014-04-29,1484.0
2014-04-30,1485.0
2014-05-05,1512.0
2014-05-06,1490.0
2014-05-08,1441.5
2014-05-12,1457.75
2014-05-13,1452.5
2014-05-14,1454.25
2014-05-16,1443.75
2014-05-19,1444.5
2014-05-20,1433.0
2014-05-21,1437.25
2014-05-22,1432.77
2014-05-23,1423.31
2014-05-26,1418.24
2014-05-28,1404.0
2014-05-29,1399.0
2014-05-30,1404.0
2014-06-02,1397.0
2014-06-04,1408.0
2014-06-05,1394.5
2014-06-06,1399.25
2014-06-09,1387.5
2014-06-11,1391.25
2014-06-16,1425.0
2014-06-17,1420.5
2014-06-18,1412.0
2014-06-19,1430.0
2014-06-20,1456.0
2014-06-25,1432.0
2014-06-26,1427.0
2014-06-27,1431.5
2014-06-30,1430.75
2014-07-02,1468.0
2014-07-03,1454.0
2014-07-04,1464.0
2014-07-07,1459.25
2014-07-09,1448.0
2014-07-11,1469.0
2014-07-15,1447.0
2014-07-16,1434.65
2014-07-17,1466.0
2014-07-18,1473.0
2014-07-23,1463.0
2014-07-24,1463.0
2014-07-25,1464.5
2014-07-28,1483.65
2014-07-29,1498.65
2014-07-30,1476.0
2014-07-31,1479.75
2014-08-01,1473.75
2014-08-04,1483.05
2014-08-07,1517.3
2014-08-08,1545.1
2014-08-11,1517.5
2014-08-12,1527.0
2014-08-13,1526.25
2014-08-15,1519.0
2014-08-18,1504.05
2014-08-20,1512.0
2014-08-21,1490.0
